"buckloc_id","name","address","city","state","zipcode"
"4xyeSuXHAhgQk4BN3","Thoroughbred Nissan","5163 E 22ND ST","TUCSON","AZ","85711"
"534JrvzrFLzL6Bhxt","Nissan World of Denville","3057 ROUTE 10","DENVILLE","NJ","07834"
"54qjvNxZX4opbY8BQ","Nissan of Chattanooga East","2121 CHAPMAN RD","CHATTANOOGA","TN","37421"
"5ACQJomuGyD4TpKeo","Bowser Nissan","1001 CLAIRTON BLVD","PLEASANT HILLS","PA","15236"
"5EcSb3RnKbt6L2a8t","Jim Falk Motors of Maui","260 HANA HWY","KAHULUI","HI","96732"
"5Jx3HzyYKKFDPFoZy","Gateway Hyundai Nissan","441 38TH ST S","FARGO","ND","58103"
"5MphyAq7xTX5Brnjr","Passport Nissan","5000 AUTH WAY","SUITLAND","MD","20746"
"5PrAnCZNmzxE2zZ9p","San Leandro Nissan","1152 MARINA BLVD","SAN LEANDRO","CA","94577"
"5SDAJJDJ8zdauwxii","Bellingham Nissan","1516 IOWA ST","BELLINGHAM","WA","98229"
"5XAhAmruaYm8oqGyr","Nissan of Staten Island","1976 HYLAN BLVD","STATEN ISLAND","NY","10306"
"5ZfJn2qqcoc45xK7d","Grand Blanc Nissan","8346 N. HOLLY RD","GRAND BLANC","MI","48439"
"5ayjqcfhrYFo9rQy7","Prestige Nissan of Lees Summit","1091 S.E. Oldham Pkwy - Cdj 1025 S.E. Oldham Pkwy - Nissan","LEES SUMMIT","MO","64081"
"5beCETrud96xasEqr","Hoselton Nissan","66 MARSH RD","EAST ROCHESTER","NY","14445"
"5keafxft8abyQ3vxE","Rosen Nissan of Madison","2510 W Beltline Hwy","MADISON","WI","53713"
"5mDp2knQggXCncoY3","Jenkins Nissan of Leesburg","10234 US HIGHWAY 441","LEESBURG","FL","34788"
"5rFdk563ar8bbi8Di","Jeff Wyler Nissan of Cincinnati","8680 Colerain Ave","CINCINNATI","OH","45251"
"5rp6pFkfz3nyokXfu","Downtown Nashville Nissan","25 VANTAGE WAY","NASHVILLE","TN","37228"
"5tEj5wfWzvoCvu7YB","Bob Moore Nissan Norman","3901 JOURNEY PKWY","NORMAN","OK","73072"
"5wKKKH5middgHEAQE","Dick Smith Nissan","3670 FERNANDINA RD","COLUMBIA","SC","29210"
"5xs7MXcvnvx8jqKzc","Gerald Nissan of Naperville","1575 W OGDEN AVE","NAPERVILLE","IL","60540"
"5xxxEpsJPvsTt6BcM","Marshall Nissan","3550 S 9TH ST","SALINA","KS","67401"
"64W6aWdQb5tbPq974","Serra Nissan of Traverse City","1331 S GARFIELD AVE","TRAVERSE CITY","MI","49686"
